DATE,CODE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,VIX,FFR,SPX,OIL,CCY,STX,INF,UNE,IP,RSP,ROI,RFX,RSX,USTP1,USTP2,USTP3,USTP4,USTP5,USTP6,USTP7,USTP8,USTP9,USTP10
733985,223,0.31403,0.81394,1.2703,1.6664,1.9993,2.2687,2.4751,2.619,2.7007,2.7208,25.92,0.18,987.48,69.45,1.8651,54765.72,4.5,NaN,-9.9,7.1522,-0.63155,-4.5437,6.2154,0.38848,0.92878,1.4414,1.9107,2.3296,2.6958,3.0105,3.2764,3.4976,3.6786
734016,223,0.27714,0.81866,1.3288,1.7775,2.156,2.4615,2.6928,2.8495,2.9316,2.9393,26.01,0.15,1020.63,69.96,1.8804,56488.98,4.36,NaN,-6.8,3.3019,0.73166,0.81698,3.0981,0.32861,0.83589,1.3505,1.8375,2.2782,2.6646,2.9948,3.2711,3.4976,3.6798
734046,223,0.27061,1.0714,1.8344,2.4802,2.9761,3.3071,3.4656,3.4476,3.251,2.8745,25.61,0.07,1057.08,70.61,1.767,61517.89,4.34,NaN,-7.3,3.509,0.92481,-6.2201,8.5282,0.31987,0.81011,1.3041,1.7695,2.1895,2.5569,2.8705,3.1325,3.3472,3.5198
734076,223,0.32969,1.1681,1.9539,2.6087,3.0997,3.4116,3.5367,3.4708,3.2118,2.7585,30.69,0.11,1036.19,77,1.7612,61545.5,4.34,NaN,-7.3,-1.996,8.6634,-0.32878,0.044871,0.33036,0.83373,1.3402,1.8188,2.2531,2.6359,2.9659,3.2449,3.4769,3.6667
734107,223,0.30685,0.99895,1.6471,2.1973,2.6288,2.9325,3.1041,3.1412,3.0429,2.8087,24.51,0.13,1095.63,77.28,1.7557,67044.44,4.22,NaN,5.4,5.5779,0.36298,-0.31278,8.5579,0.16762,0.56011,1.0388,1.5325,2.0016,2.4258,2.7972,3.1148,3.3814,3.6021
734138,223,0.31925,0.92235,1.462,1.9237,2.315,2.6466,2.9288,3.1704,3.3785,3.559,21.68,0.05,1115.1,79.36,1.7445,68588.41,4.31,NaN,18.9,1.7615,2.6559,-0.63997,2.2768,0.41233,0.98968,1.5409,2.0472,2.4999,2.8963,3.2376,3.5267,3.7683,3.9673
734167,223,0.16883,0.58322,1.0131,1.4364,1.8503,2.2555,2.6531,3.0439,3.4288,3.8084,24.62,0.12,1073.87,72.89,1.895,65401.77,4.31,NaN,18.9,-3.7675,-8.5043,8.2751,-4.7574,0.27614,0.7795,1.3339,1.8767,2.3751,2.8143,3.1906,3.5061,3.7662,3.9777
734195,223,0.33874,0.69639,1.0099,1.2929,1.5568,1.8086,2.0529,2.2925,2.5292,2.7645,19.5,0.13,1104.49,79.66,1.8076,66503.27,4.59,NaN,15.9,2.8115,8.8816,-4.7219,1.6702,0.24096,0.71593,1.2595,1.8032,2.3098,2.7616,3.1525,3.4833,3.7584,3.984
734228,223,0.38707,0.7969,1.1495,1.4563,1.728,1.9716,2.192,2.3926,2.5761,2.7444,17.59,0.09,1169.43,83.76,1.7813,70371.54,5.17,NaN,18.7,5.7133,5.0188,-1.4657,5.6538,0.32896,0.88604,1.4649,2.0082,2.4919,2.9097,3.2637,3.5597,3.805,4.0068
734258,223,0.56476,1.0716,1.4412,1.7213,1.942,2.1216,2.2716,2.3994,2.5101,2.6071,22.05,0.2,1186.69,86.15,1.7394,67529.73,5.26,NaN,16.5,1.4651,2.8134,-2.3803,-4.1221,0.24987,0.74714,1.2961,1.8223,2.2942,2.7021,3.0472,3.3352,3.5734,3.7692
734286,223,0.4069,0.78576,1.1013,1.3731,1.6144,1.8333,2.0348,2.2221,2.3974,2.5624,32.07,0.19,1089.41,73.97,1.8171,61946.99,5.26,NaN,16.5,-8.5532,-15.243,4.3702,-8.6289,0.11834,0.51523,1.0139,1.5138,1.9715,2.3722,2.7145,3.003,3.2441,3.4445
734319,223,0.0092554,0.1795,0.51909,0.88513,1.2233,1.5174,1.7668,1.9768,2.1537,2.3035,34.54,0.09,1030.71,75.63,1.8047,60935.9,4.84,NaN,11.2,-5.5388,2.2193,-0.68475,-1.6457,0.031179,0.32711,0.75269,1.2052,1.6357,2.0235,2.3626,2.6539,2.9011,3.1095
734349,223,0.38552,0.63174,0.82262,0.99938,1.1859,1.3955,1.636,1.912,2.2265,2.5813,23.5,0.18,1101.6,78.95,1.7549,67515.4,4.84,NaN,11.2,6.6516,4.2962,-2.7982,10.2533,0.0019365,0.23705,0.61921,1.058,1.5003,1.9165,2.2919,2.6211,2.9038,3.1431
734381,223,0.4119,0.53818,0.58945,0.63385,0.70722,0.82873,1.0091,1.2545,1.5688,1.9544,26.05,0.21,1049.33,71.92,1.7559,65145.45,4.49,NaN,8.5,-4.8612,-9.326,0.056967,-3.5733,-0.0111,0.16469,0.45922,0.80149,1.1495,1.4795,1.7797,2.0451,2.2753,2.4722
734411,223,0.42403,0.61038,0.71808,0.80565,0.90417,1.0304,1.1936,1.3994,1.6511,1.9509,23.7,0.15,1141.2,79.97,1.7079,69429.78,4.7,NaN,6.4,8.3928,10.6097,-2.7717,6.3693,-0.045466,0.10854,0.40454,0.76433,1.1401,1.5037,1.8399,2.1416,2.4066,2.6358
734440,223,0.25583,0.5927,0.89948,1.1819,1.4484,1.7046,1.9539,2.1984,2.4395,2.678,21.2,0.2,1183.26,81.43,1.7019,70673.3,4.7,NaN,6.4,3.6193,1.8092,-0.35193,1.7752,-0.10545,0.012469,0.31243,0.70241,1.1246,1.5436,1.9389,2.3,2.6223,2.9054
734472,223,0.20987,0.33829,0.50725,0.71551,0.95448,1.2131,1.4811,1.7502,2.0144,2.2693,23.54,0.2,1180.55,84.11,1.7129,67705.4,5.63,NaN,5.3,-0.22929,3.2382,0.64426,-4.2902,-0.012425,0.18817,0.5284,0.92903,1.3428,1.7426,2.1138,2.4497,2.7482,3.0101
734503,223,-0.48221,-0.72395,-0.49575,-0.090894,0.35139,0.76981,1.1417,1.4626,1.736,1.968,17.75,0.13,1257.64,91.38,1.6613,69304.81,5.91,NaN,2.7,6.3257,8.2901,-3.0587,2.3348,-0.0077957,0.33985,0.85253,1.3867,1.8834,2.323,2.703,3.0281,3.3048,3.5399
734534,223,-0.1958,-0.28458,-0.042001,0.31767,0.69442,1.0456,1.3565,1.6255,1.856,2.0532,19.53,0.17,1286.12,92.19,1.6736,66574.88,5.99,NaN,2.2,2.2393,0.8825,0.73766,-4.0187,0.019344,0.3533,0.85267,1.3932,1.9143,2.3895,2.8102,3.1764,3.4919,3.7622
734562,223,-0.20016,-0.25857,-0.0084923,0.32415,0.64948,0.9371,1.1814,1.3858,1.5567,1.7003,18.35,0.16,1327.22,96.97,1.6632,67383.22,6.01,NaN,7.3,3.1457,5.055,-0.62335,1.2069,0.064648,0.48016,1.0227,1.5607,2.0463,2.4681,2.8289,3.1358,3.3968,3.6192
734593,223,0.011352,0.14098,0.44805,0.79239,1.1173,1.4037,1.6489,1.8564,2.032,2.1811,17.74,0.1,1325.83,106.72,1.6325,68586.7,6.3,NaN,-0.7,-0.10479,9.5807,-1.8631,1.7703,0.15571,0.61794,1.1581,1.6737,2.1315,2.5262,2.8628,3.1491,3.393,3.6011
734622,223,0.25517,0.64311,0.98898,1.2896,1.549,1.7706,1.9568,2.1094,2.2295,2.3181,14.75,0.09,1363.61,113.93,1.5743,66132.86,6.3,NaN,-0.7,2.8097,6.5376,-3.6302,-3.6433,0.10435,0.48045,0.97301,1.4844,1.9671,2.4014,2.7813,3.1083,3.387,3.6231
734654,223,0.23512,0.7826,1.2977,1.7436,2.1084,2.3873,2.5781,2.6797,2.6915,2.6131,15.45,0.1,1345.2,102.7,1.5805,64620.08,6.55,NaN,2.7,-1.3593,-10.3772,0.39305,-2.3141,0.042899,0.32409,0.74066,1.205,1.6667,2.0984,2.487,2.8284,3.1231,3.3744
734684,223,0.38786,0.71788,0.98032,1.2013,1.397,1.5768,1.7461,1.9082,2.0652,2.2186,16.52,0.07,1320.64,95.42,1.5635,62403.64,6.71,NaN,0.3,-1.8426,-7.3524,-1.0814,-3.4902,0.072389,0.37836,0.812,1.2923,1.7712,2.2216,2.6299,2.9908,3.304,3.5723
734713,223,0.40888,0.77182,1.0563,1.2855,1.4737,1.6289,1.7561,1.8582,1.9369,1.9935,25.25,0.11,1292.28,95.7,1.5497,58823.45,6.71,NaN,0.3,-2.1708,0.29301,-0.88655,-5.9083,-0.079094,0.067299,0.39115,0.80289,1.2456,1.6839,2.0973,2.4746,2.8111,3.106
734746,223,-1.1801,-1.5533,-1.2518,-0.8452,-0.49321,-0.223,-0.024302,0.11979,0.22414,0.29997,31.62,0.08,1218.89,88.81,1.5896,56495.12,7.23,NaN,2.5,-5.8467,-7.4719,2.5421,-4.0386,-0.07533,0.020136,0.25263,0.55804,0.8945,1.235,1.5627,1.8679,2.1456,2.3938
734776,223,0.33152,0.60764,0.7968,0.92823,1.0188,1.0776,1.1092,1.1164,1.1003,1.0615,42.96,0.06,1131.42,79.2,1.8792,52324.42,7.31,NaN,-1,-7.4467,-11.4523,16.7364,-7.6691,-0.0095735,0.099256,0.28539,0.51229,0.75546,0.99856,1.2311,1.4466,1.6416,1.8146
734807,223,0.067204,-0.045731,-0.050925,0.014546,0.11893,0.2395,0.36183,0.47772,0.58315,0.67665,29.96,0.09,1253.3,93.19,1.7173,58338.39,6.97,NaN,-1.4,10.2307,16.2664,-9.0093,10.8797,-0.053762,0.05287,0.28088,0.57047,0.88278,1.1931,1.4864,1.7542,1.9928,2.2011
734837,223,0.19557,0.50257,0.75023,0.94267,1.0863,1.1848,1.2402,1.2531,1.2235,1.1513,27.8,0.1,1246.96,100.36,1.8085,56874.98,6.64,NaN,-2.4,-0.50715,7.4123,5.1744,-2.5405,-0.041894,0.063477,0.27683,0.54523,0.83409,1.1212,1.3931,1.6418,1.8639,2.0582
734867,223,0.29235,0.72323,1.0769,1.3477,1.5365,1.6443,1.6716,1.6186,1.4851,1.271,23.4,0.04,1257.61,98.83,1.8663,56754.08,6.64,NaN,-2.4,0.85045,-1.5363,3.146,-0.2128,-0.024931,0.066821,0.23984,0.45728,0.6942,0.93374,1.1648,1.3806,1.5771,1.7525
734899,223,0.27042,0.69156,1.0442,1.3212,1.5232,1.6513,1.7057,1.6867,1.5941,1.4278,19.44,0.11,1312.41,98.48,1.7471,63072.31,6.22,NaN,-4.9,4.2652,-0.35477,-6.6001,10.5554,-0.073714,-0.03119,0.11028,0.31128,0.54421,0.78962,1.034,1.2683,1.4868,1.6859
734928,223,0.25959,0.70718,1.0962,1.4129,1.655,1.8224,1.9148,1.9323,1.8745,1.7413,18.43,0.1,1365.68,107.07,1.7177,65811.73,5.84,NaN,-5.8,3.9787,8.3629,-1.6971,4.2516,-0.026766,0.058497,0.22427,0.43725,0.67422,0.91882,1.1597,1.3891,1.6024,1.7965
734958,223,0.26307,0.66805,1.0142,1.2963,1.5161,1.6752,1.7747,1.8148,1.7959,1.7177,15.5,0.09,1408.47,103.02,1.8263,64510.97,5.84,NaN,-5.8,3.0852,-3.856,6.1306,-1.9963,-0.0022169,0.12667,0.34218,0.60475,0.88753,1.1723,1.4469,1.7039,1.9386,2.1492
734989,223,0.20041,0.56092,0.87698,1.1428,1.3606,1.5326,1.6599,1.7429,1.7817,1.7763,17.15,0.16,1397.91,104.87,1.9073,61820.26,5.1,7.8,-4.9,-0.75257,1.7798,4.3397,-4.2604,-0.051091,0.014182,0.1713,0.38293,0.62307,0.87344,1.1214,1.3586,1.5795,1.7812
735020,223,0.42982,0.58254,0.60535,0.56544,0.49578,0.41301,0.32579,0.23873,0.15429,0.073767,24.06,0.16,1310.33,86.53,2.0226,54490.41,4.99,7.6,-4.3,-6.4699,-19.223,5.8695,-12.6206,-0.054013,-0.028117,0.061961,0.19307,0.34856,0.51621,0.68706,0.85473,1.0147,1.1642
735049,223,0.28435,0.55743,0.73665,0.84562,0.89834,0.90207,0.86038,0.77488,0.64615,0.47426,17.08,0.09,1362.16,84.96,2.0093,54354.63,4.99,7.6,-4.3,3.8793,-1.8311,-0.65974,-0.24949,-0.033135,0.012228,0.11422,0.25288,0.41374,0.58594,0.76137,0.93402,1.0995,1.2549
735081,223,0.34424,0.50746,0.56648,0.57413,0.55776,0.5314,0.50234,0.47435,0.44939,0.42839,18.93,0.13,1379.32,88.06,2.0569,56097.05,5.2,7.4,-1.5,1.2519,3.5838,2.3414,3.1553,-0.068049,-0.053518,0.031743,0.16231,0.31984,0.4909,0.66565,0.8371,1.0004,1.1523
735112,223,0.42912,0.56135,0.5628,0.50449,0.42113,0.33028,0.24103,0.15825,0.084527,0.021234,17.47,0.13,1406.58,96.47,2.0297,57061.45,5.24,7.3,0.6,1.9571,9.1214,-1.3312,1.7046,-0.081389,-0.073421,0.015332,0.15565,0.32655,0.51271,0.70305,0.88974,1.0674,1.2325
735140,223,0.24955,0.41001,0.49611,0.54743,0.58651,0.62518,0.66957,0.7228,0.78641,0.86104,15.73,0.09,1440.67,92.19,2.0258,59175.86,5.24,7.3,0.6,2.3947,-4.538,-0.19233,3.6385,-0.073978,-0.058972,0.034806,0.1802,0.35748,0.55189,0.75246,0.95117,1.1422,1.3217
735173,223,0.32734,0.33618,0.25305,0.15739,0.089846,0.071432,0.1133,0.22152,0.39945,0.64899,18.6,0.18,1412.16,86.24,2.0299,57068.18,5.45,6.9,5.2,-1.9988,-6.6718,0.20218,-3.6267,-0.041485,0.0041484,0.11591,0.26974,0.44836,0.63899,0.83224,1.0213,1.2015,1.3695
735203,223,0.29638,0.43829,0.49762,0.52407,0.54453,0.57308,0.61711,0.68051,0.76535,0.87266,15.87,0.16,1416.18,88.91,2.136,57474.57,5.53,6.8,0.6,0.28427,3.0491,5.0948,0.70959,-0.073118,-0.059846,0.029566,0.16855,0.33788,0.52332,0.71436,0.90339,1.085,1.2556
735234,223,0.37604,0.43607,0.39893,0.3411,0.30141,0.3,0.34761,0.45015,0.61094,0.8319,18.02,0.09,1426.19,91.82,2.0428,60952.08,5.84,6.9,-3.6,0.70434,3.2206,-4.4614,5.8745,-0.046075,0.0032219,0.12663,0.29655,0.4933,0.70245,0.91356,1.1192,1.3142,1.4952
735265,223,0.25788,0.45869,0.59383,0.69612,0.78524,0.8718,0.96141,1.0571,1.1603,1.2717,14.28,0.15,1498.11,97.49,1.9916,59761.49,6.15,7.2,6.5,4.9198,5.992,-2.5383,-1.9727,-0.02755,0.062571,0.23724,0.4606,0.70788,0.96183,1.2107,1.4467,1.6651,1.8631
735293,223,0.35744,0.42443,0.40136,0.36059,0.33938,0.35711,0.42415,0.54619,0.72644,0.96673,15.51,0.14,1514.68,92.05,1.9775,57424.29,6.31,7.7,-2,1.1,-5.7418,-0.71049,-3.9894,-0.056789,-0.0028971,0.14076,0.33949,0.56877,0.811,1.0537,1.2883,1.509,1.7123
735321,223,0.36237,0.43429,0.41647,0.38101,0.36503,0.38783,0.45977,0.58655,0.77139,1.0161,12.7,0.13,1569.19,97.23,2.0219,56352.09,6.31,7.7,-2,3.5355,5.4747,2.2204,-1.8848,-0.039155,0.023599,0.16351,0.3517,0.5676,0.79619,1.0265,1.2508,1.4637,1.6617
735354,223,0.3189,0.4903,0.57878,0.63154,0.67424,0.72037,0.77713,0.84836,0.93616,1.0416,13.52,0.14,1597.57,93.46,2.0014,55910.37,6.49,7.8,9.8,1.7924,-3.9546,-1.0191,-0.78695,-0.050455,-0.0082147,0.10718,0.26911,0.45849,0.66126,0.86714,1.0687,1.2609,1.4402
